country_code,CPV,total_value_sme,n_contracts_sme,n_contractors_sme,total_value_large,n_contracts_large,n_contractors_large
BE,72320000,34000000.0,1,1,11085893.2,3,4
BE,72400000,2286000.0,1,1,235200.0,1,1
BE,72413000,515596.0,4,4,600000.0,1,1
BE,72500000,9226915.71,4,4,2189055662.64,16,19
BE,72512000,1354476.0,1,1,369070.2,1,1
BE,73000000,69090112.0,23,73,115939104.42,38,83
BE,73100000,16050115.78,6,34,22794915.78,9,43
BE,73210000,2400000.0,5,18,17120200.0,11,19
BE,73220000,30092500.0,5,14,52485335.0,10,23
BE,75110000,1611466.0,1,3,491700.0,1,1
BE,77000000,2528440.37,12,12,1020220.5,2,2
BE,77100000,1247400.0,2,6,1330520.0,2,8
BE,77211300,734162.36,1,1,724830.0,1,1
BE,77211500,127426.25,1,1,297000.0,2,2
BE,77300000,1240832.27,10,10,1246181.4,7,7
BE,77310000,4061167.16,17,17,15981624.079999998,98,98
BE,77312000,1396654.88,2,2,8906995.41,5,5
BE,77313000,264222.26,3,3,1347521.83,10,10
BE,77314000,605660.47,6,6,443588.57000000007,3,3
BE,79000000,117658201.46,70,206,83302606.66000001,54,222
BE,79100000,7783741.0,7,15,105561945.0,11,16
BE,79121000,850000.0,2,2,197120.0,1,1
BE,79200000,1574489.24,1,1,350000.0,1,3
BE,79210000,3525.0,1,4,664287277.0,11,14
BE,79212000,290000.0,1,1,1592924.0,3,3
BE,79300000,4235529.029999999,14,14,6334999.539999999,7,20
BE,79310000,2776263.0,6,11,493350.0,2,2
BE,79311000,6207759.9,12,19,16027224.44,16,21
BE,79311410,32869200.0,4,13,32850000.0,3,10
BE,79314000,699600.0,1,6,2570370.0,4,9
BE,79330000,4982850.0,1,5,4982850.0,1,5
BE,79340000,19557563.54,9,11,223694780.98000002,23,27
BE,79341000,379309.0,1,2,133470000.0,2,2
BE,79341400,2400000.0,5,5,387000000.0,5,15
BE,79342000,2900000.0,2,2,1951983.0,3,3
BE,79400000,14761046.0,16,26,17939147.18,15,32
BE,79410000,80679445.0,15,56,88226720.69,16,62
BE,79411000,5908190.0,4,9,14394404.0,5,11
BE,79411100,202125.0,1,1,14470520.55,6,23
BE,79416000,13985000.0,17,18,2699700.0,2,2
BE,79530000,175950.0,2,2,1850000.0,2,7
BE,79600000,3115450.0,5,6,25168656.189999998,11,15
